club,matches_played,wins,draws,losses,goals_for,goals_against,goals_diff,points,league,season
Chelsea,38,26,9,3,73,32,41,87,premierleague,2014
Man City,38,24,7,7,83,38,45,79,premierleague,2014
Arsenal,38,22,9,7,71,36,35,75,premierleague,2014
Man Utd,38,20,10,8,62,37,25,70,premierleague,2014
Tottenham,38,19,7,12,58,53,5,64,premierleague,2014
Liverpool,38,18,8,12,52,48,4,62,premierleague,2014
Southampton,38,18,6,14,54,33,21,60,premierleague,2014
Swansea,38,16,8,14,46,49,-3,56,premierleague,2014
Stoke City,38,15,9,14,48,45,3,54,premierleague,2014
Crystal Palace,38,13,9,16,47,51,-4,48,premierleague,2014
Everton,38,12,11,15,48,50,-2,47,premierleague,2014
West Ham,38,12,11,15,44,47,-3,47,premierleague,2014
West Brom,38,11,11,16,38,51,-13,44,premierleague,2014
Leicester,38,11,8,19,46,55,-9,41,premierleague,2014
Newcastle,38,10,9,19,40,63,-23,39,premierleague,2014
Sunderland,38,7,17,14,31,53,-22,38,premierleague,2014
Aston Villa,38,10,8,20,31,57,-26,38,premierleague,2014
Hull City,38,8,11,19,33,51,-18,35,premierleague,2014
Burnley,38,7,12,19,28,53,-25,33,premierleague,2014
QPR,38,8,6,24,42,73,-31,30,premierleague,2014
Leicester,38,23,12,3,68,36,32,81,premierleague,2015
Arsenal,38,20,11,7,65,36,29,71,premierleague,2015
Tottenham,38,19,13,6,69,35,34,70,premierleague,2015
Man City,38,19,9,10,71,41,30,66,premierleague,2015
Man Utd,38,19,9,10,49,35,14,66,premierleague,2015
Southampton,38,18,9,11,59,41,18,63,premierleague,2015
West Ham,38,16,14,8,65,51,14,62,premierleague,2015
Liverpool,38,16,12,10,63,50,13,60,premierleague,2015
Stoke City,38,14,9,15,41,55,-14,51,premierleague,2015
Chelsea,38,12,14,12,59,53,6,50,premierleague,2015
Everton,38,11,14,13,59,55,4,47,premierleague,2015
Swansea,38,12,11,15,42,52,-10,47,premierleague,2015
Watford,38,12,9,17,40,50,-10,45,premierleague,2015
West Brom,38,10,13,15,34,48,-14,43,premierleague,2015
Crystal Palace,38,11,9,18,39,51,-12,42,premierleague,2015
Bournemouth,38,11,9,18,45,67,-22,42,premierleague,2015
Sunderland,38,9,12,17,48,62,-14,39,premierleague,2015
Newcastle,38,9,10,19,44,65,-21,37,premierleague,2015
Norwich,38,9,7,22,39,67,-28,34,premierleague,2015
Aston Villa,38,3,8,27,27,76,-49,17,premierleague,2015
Chelsea,38,30,3,5,85,33,52,93,premierleague,2016
Tottenham,38,26,8,4,86,26,60,86,premierleague,2016
Man City,38,23,9,6,80,39,41,78,premierleague,2016
Liverpool,38,22,10,6,78,42,36,76,premierleague,2016
Arsenal,38,23,6,9,77,44,33,75,premierleague,2016
Man Utd,38,18,15,5,54,29,25,69,premierleague,2016
Everton,38,17,10,11,62,44,18,61,premierleague,2016
Southampton,38,12,10,16,41,48,-7,46,premierleague,2016
Bournemouth,38,12,10,16,55,67,-12,46,premierleague,2016
West Brom,38,12,9,17,43,51,-8,45,premierleague,2016
West Ham,38,12,9,17,47,64,-17,45,premierleague,2016
Leicester,38,12,8,18,48,63,-15,44,premierleague,2016
Stoke City,38,11,11,16,41,56,-15,44,premierleague,2016
Crystal Palace,38,12,5,21,50,63,-13,41,premierleague,2016
Swansea,38,12,5,21,45,70,-25,41,premierleague,2016
Burnley,38,11,7,20,39,55,-16,40,premierleague,2016
Watford,38,11,7,20,40,68,-28,40,premierleague,2016
Hull City,38,9,7,22,37,80,-43,34,premierleague,2016
Middlesbrough,38,5,13,20,27,53,-26,28,premierleague,2016
Sunderland,38,6,6,26,29,69,-40,24,premierleague,2016
Man City,38,32,4,2,106,27,79,100,premierleague,2017
Man Utd,38,25,6,7,68,28,40,81,premierleague,2017
Tottenham,38,23,8,7,74,36,38,77,premierleague,2017
Liverpool,38,21,12,5,84,38,46,75,premierleague,2017
Chelsea,38,21,7,10,62,38,24,70,premierleague,2017
Arsenal,38,19,6,13,74,51,23,63,premierleague,2017
Burnley,38,14,12,12,36,39,-3,54,premierleague,2017
Everton,38,13,10,15,44,58,-14,49,premierleague,2017
Leicester,38,12,11,15,56,60,-4,47,premierleague,2017
Newcastle,38,12,8,18,39,47,-8,44,premierleague,2017
Crystal Palace,38,11,11,16,45,55,-10,44,premierleague,2017
Bournemouth,38,11,11,16,45,61,-16,44,premierleague,2017
West Ham,38,10,12,16,48,68,-20,42,premierleague,2017
Watford,38,11,8,19,44,64,-20,41,premierleague,2017
Brighton,38,9,13,16,34,54,-20,40,premierleague,2017
Huddersfield,38,9,10,19,28,58,-30,37,premierleague,2017
Southampton,38,7,15,16,37,56,-19,36,premierleague,2017
Swansea,38,8,9,21,28,56,-28,33,premierleague,2017
Stoke City,38,7,12,19,35,68,-33,33,premierleague,2017
West Brom,38,6,13,19,31,56,-25,31,premierleague,2017
Man City,38,32,2,4,95,23,72,98,premierleague,2018
Liverpool,38,30,7,1,89,22,67,97,premierleague,2018
Chelsea,38,21,9,8,63,39,24,72,premierleague,2018
Tottenham,38,23,2,13,67,39,28,71,premierleague,2018
Arsenal,38,21,7,10,73,51,22,70,premierleague,2018
Man Utd,38,19,9,10,65,54,11,66,premierleague,2018
Wolves,38,16,9,13,47,46,1,57,premierleague,2018
Everton,38,15,9,14,54,46,8,54,premierleague,2018
Leicester,38,15,7,16,51,48,3,52,premierleague,2018
West Ham,38,15,7,16,52,55,-3,52,premierleague,2018
Watford,38,14,8,16,52,59,-7,50,premierleague,2018
Crystal Palace,38,14,7,17,51,53,-2,49,premierleague,2018
Newcastle,38,12,9,17,42,48,-6,45,premierleague,2018
Bournemouth,38,13,6,19,56,70,-14,45,premierleague,2018
Burnley,38,11,7,20,45,68,-23,40,premierleague,2018
Southampton,38,9,12,17,45,65,-20,39,premierleague,2018
Brighton,38,9,9,20,35,60,-25,36,premierleague,2018
Cardiff,38,10,4,24,34,69,-35,34,premierleague,2018
Fulham,38,7,5,26,34,81,-47,26,premierleague,2018
Huddersfield,38,3,7,28,22,76,-54,16,premierleague,2018
Liverpool,38,32,3,3,85,33,52,99,premierleague,2019
Man City,38,26,3,9,102,35,67,81,premierleague,2019
Man Utd,38,18,12,8,66,36,30,66,premierleague,2019
Chelsea,38,20,6,12,69,54,15,66,premierleague,2019
Leicester,38,18,8,12,67,41,26,62,premierleague,2019
Tottenham,38,16,11,11,61,47,14,59,premierleague,2019
Wolves,38,15,14,9,51,40,11,59,premierleague,2019
Arsenal,38,14,14,10,56,48,8,56,premierleague,2019
Sheff Utd,38,14,12,12,39,39,0,54,premierleague,2019
Burnley,38,15,9,14,43,50,-7,54,premierleague,2019
Southampton,38,15,7,16,51,60,-9,52,premierleague,2019
Everton,38,13,10,15,44,56,-12,49,premierleague,2019
Newcastle,38,11,11,16,38,58,-20,44,premierleague,2019
Crystal Palace,38,11,10,17,31,50,-19,43,premierleague,2019
Brighton,38,9,14,15,39,54,-15,41,premierleague,2019
West Ham,38,10,9,19,49,62,-13,39,premierleague,2019
Aston Villa,38,9,8,21,41,67,-26,35,premierleague,2019
Bournemouth,38,9,7,22,40,65,-25,34,premierleague,2019
Watford,38,8,10,20,36,64,-28,34,premierleague,2019
Norwich,38,5,6,27,26,75,-49,21,premierleague,2019
Man City,38,27,5,6,83,32,51,86,premierleague,2020
Man Utd,38,21,11,6,73,44,29,74,premierleague,2020
Liverpool,38,20,9,9,68,42,26,69,premierleague,2020
Chelsea,38,19,10,9,58,36,22,67,premierleague,2020
Leicester,38,20,6,12,68,50,18,66,premierleague,2020
West Ham,38,19,8,11,62,47,15,65,premierleague,2020
Tottenham,38,18,8,12,68,45,23,62,premierleague,2020
Arsenal,38,18,7,13,55,39,16,61,premierleague,2020
Leeds,38,18,5,15,62,54,8,59,premierleague,2020
Everton,38,17,8,13,47,48,-1,59,premierleague,2020
Aston Villa,38,16,7,15,55,46,9,55,premierleague,2020
Newcastle,38,12,9,17,46,62,-16,45,premierleague,2020
Wolves,38,12,9,17,36,52,-16,45,premierleague,2020
Crystal Palace,38,12,8,18,41,66,-25,44,premierleague,2020
Southampton,38,12,7,19,47,68,-21,43,premierleague,2020
Brighton,38,9,14,15,40,46,-6,41,premierleague,2020
Burnley,38,10,9,19,33,55,-22,39,premierleague,2020
Fulham,38,5,13,20,27,53,-26,28,premierleague,2020
West Brom,38,5,11,22,35,76,-41,26,premierleague,2020
Sheff Utd,38,7,2,29,20,63,-43,23,premierleague,2020
Man City,38,29,6,3,99,26,73,93,premierleague,2021
Liverpool,38,28,8,2,94,26,68,92,premierleague,2021
Chelsea,38,21,11,6,76,33,43,74,premierleague,2021
Tottenham,38,22,5,11,69,40,29,71,premierleague,2021
Arsenal,38,22,3,13,61,48,13,69,premierleague,2021
Man Utd,38,16,10,12,57,57,0,58,premierleague,2021
West Ham,38,16,8,14,60,51,9,56,premierleague,2021
Leicester,38,14,10,14,62,59,3,52,premierleague,2021
Brighton,38,12,15,11,42,44,-2,51,premierleague,2021
Wolves,38,15,6,17,38,43,-5,51,premierleague,2021
Newcastle,38,13,10,15,44,62,-18,49,premierleague,2021
Crystal Palace,38,11,15,12,50,46,4,48,premierleague,2021
Brentford,38,13,7,18,48,56,-8,46,premierleague,2021
Aston Villa,38,13,6,19,52,54,-2,45,premierleague,2021
Southampton,38,9,13,16,43,67,-24,40,premierleague,2021
Everton,38,11,6,21,43,66,-23,39,premierleague,2021
Leeds,38,9,11,18,42,79,-37,38,premierleague,2021
Burnley,38,7,14,17,34,53,-19,35,premierleague,2021
Watford,38,6,5,27,34,77,-43,23,premierleague,2021
Norwich,38,5,7,26,23,84,-61,22,premierleague,2021
Man City,38,28,5,5,94,33,61,89,premierleague,2022
Arsenal,38,26,6,6,88,43,45,84,premierleague,2022
Man Utd,38,23,6,9,58,43,15,75,premierleague,2022
Newcastle,38,19,14,5,68,33,35,71,premierleague,2022
Liverpool,38,19,10,9,75,47,28,67,premierleague,2022
Brighton,38,18,8,12,72,53,19,62,premierleague,2022
Aston Villa,38,18,7,13,51,46,5,61,premierleague,2022
Tottenham,38,18,6,14,70,63,7,60,premierleague,2022
Brentford,38,15,14,9,58,46,12,59,premierleague,2022
Fulham,38,15,7,16,55,53,2,52,premierleague,2022
Crystal Palace,38,11,12,15,40,49,-9,45,premierleague,2022
Chelsea,38,11,11,16,38,47,-9,44,premierleague,2022
Wolves,38,11,8,19,31,58,-27,41,premierleague,2022
West Ham,38,11,7,20,42,55,-13,40,premierleague,2022
Bournemouth,38,11,6,21,37,71,-34,39,premierleague,2022
Nottm Forest,38,9,11,18,38,68,-30,38,premierleague,2022
Everton,38,8,12,18,34,57,-23,36,premierleague,2022
Leicester,38,9,7,22,51,68,-17,34,premierleague,2022
Leeds,38,7,10,21,48,78,-30,31,premierleague,2022
Southampton,38,6,7,25,36,73,-37,25,premierleague,2022
Man City,38,28,7,3,96,34,62,91,premierleague,2023
Arsenal,38,28,5,5,91,29,62,89,premierleague,2023
Liverpool,38,24,10,4,86,41,45,82,premierleague,2023
Aston Villa,38,20,8,10,76,61,15,68,premierleague,2023
Tottenham,38,20,6,12,74,61,13,66,premierleague,2023
Chelsea,38,18,9,11,77,63,14,63,premierleague,2023
Newcastle,38,18,6,14,85,62,23,60,premierleague,2023
Man Utd,38,18,6,14,57,58,-1,60,premierleague,2023
West Ham,38,14,10,14,60,74,-14,52,premierleague,2023
Crystal Palace,38,13,10,15,57,58,-1,49,premierleague,2023
Brighton,38,12,12,14,55,62,-7,48,premierleague,2023
Bournemouth,38,13,9,16,54,67,-13,48,premierleague,2023
Fulham,38,13,8,17,55,61,-6,47,premierleague,2023
Wolves,38,13,7,18,50,65,-15,46,premierleague,2023
Everton,38,13,9,16,40,51,-11,40,premierleague,2023
Brentford,38,10,9,19,56,65,-9,39,premierleague,2023
Nottm Forest,38,9,9,20,49,67,-18,32,premierleague,2023
Luton,38,6,8,24,52,85,-33,26,premierleague,2023
Burnley,38,5,9,24,41,78,-37,24,premierleague,2023
Sheff Utd,38,3,7,28,35,104,-69,16,premierleague,2023
Liverpool,32,23,7,2,74,31,43,76,premierleague,2024
Arsenal,32,17,12,3,57,27,30,63,premierleague,2024
Nottm Forest,32,17,6,9,51,38,13,57,premierleague,2024
Newcastle,31,17,5,9,56,40,16,56,premierleague,2024
Man City,32,16,7,9,62,42,20,55,premierleague,2024
Chelsea,32,15,9,8,56,39,17,54,premierleague,2024
Aston Villa,32,15,9,8,49,46,3,54,premierleague,2024
Fulham,31,13,9,9,47,42,5,48,premierleague,2024
Brighton,32,12,12,8,51,49,2,48,premierleague,2024
Bournemouth,31,12,9,10,51,40,11,45,premierleague,2024
Brentford,32,12,7,13,52,48,4,43,premierleague,2024
Crystal Palace,31,11,10,10,41,40,1,43,premierleague,2024
Everton,32,8,14,10,34,38,-4,38,premierleague,2024
Man Utd,32,10,8,14,38,45,-7,38,premierleague,2024
Tottenham,32,11,4,17,60,49,11,37,premierleague,2024
Wolves,32,10,5,17,47,61,-14,35,premierleague,2024
West Ham,32,9,8,15,36,54,-18,35,premierleague,2024
Ipswich,32,4,9,19,33,67,-34,21,premierleague,2024
Leicester,32,4,6,22,27,72,-45,18,premierleague,2024
Southampton,32,2,4,26,23,77,-54,10,premierleague,2024
Bayern Munich,34,25,4,5,80,18,62,79,bundesliga,2014
VfL Wolfsburg,34,20,9,5,72,38,34,69,bundesliga,2014
Bor. M'gladbach,34,19,9,6,53,26,27,66,bundesliga,2014
B. Leverkusen,34,17,10,7,62,37,25,61,bundesliga,2014
FC Augsburg,34,15,4,15,43,43,0,49,bundesliga,2014
FC Schalke 04,34,13,9,12,42,40,2,48,bundesliga,2014
Bor. Dortmund,34,13,7,14,47,42,5,46,bundesliga,2014
TSG Hoffenheim,34,12,8,14,49,55,-6,44,bundesliga,2014
E. Frankfurt,34,11,10,13,56,62,-6,43,bundesliga,2014
Werder Bremen,34,11,10,13,50,65,-15,43,bundesliga,2014
1.FSV Mainz 05,34,9,13,12,45,47,-2,40,bundesliga,2014
1.FC Köln,34,9,13,12,34,40,-6,40,bundesliga,2014
Hannover 96,34,9,10,15,40,56,-16,37,bundesliga,2014
VfB Stuttgart,34,9,9,16,42,60,-18,36,bundesliga,2014
Hertha BSC,34,9,8,17,36,52,-16,35,bundesliga,2014
Hamburger SV,34,9,8,17,25,50,-25,35,bundesliga,2014
SC Freiburg,34,7,13,14,36,47,-11,34,bundesliga,2014
SC Paderborn,34,7,10,17,31,65,-34,31,bundesliga,2014
Bayern Munich,34,28,4,2,80,17,63,88,bundesliga,2015
Bor. Dortmund,34,24,6,4,82,34,48,78,bundesliga,2015
B. Leverkusen,34,18,6,10,56,40,16,60,bundesliga,2015
Bor. M'gladbach,34,17,4,13,67,50,17,55,bundesliga,2015
FC Schalke 04,34,15,7,12,51,49,2,52,bundesliga,2015
1.FSV Mainz 05,34,14,8,12,46,42,4,50,bundesliga,2015
Hertha BSC,34,14,8,12,42,42,0,50,bundesliga,2015
VfL Wolfsburg,34,12,9,13,47,49,-2,45,bundesliga,2015
1.FC Köln,34,10,13,11,38,42,-4,43,bundesliga,2015
Hamburger SV,34,11,8,15,40,46,-6,41,bundesliga,2015
FC Ingolstadt,34,10,10,14,33,42,-9,40,bundesliga,2015
FC Augsburg,34,9,11,14,42,52,-10,38,bundesliga,2015
Werder Bremen,34,10,8,16,50,65,-15,38,bundesliga,2015
Darmstadt 98,34,9,11,14,38,53,-15,38,bundesliga,2015
TSG Hoffenheim,34,9,10,15,39,54,-15,37,bundesliga,2015
E. Frankfurt,34,9,9,16,34,52,-18,36,bundesliga,2015
VfB Stuttgart,34,9,6,19,50,75,-25,33,bundesliga,2015
Hannover 96,34,7,4,23,31,62,-31,25,bundesliga,2015
Bayern Munich,34,25,7,2,89,22,67,82,bundesliga,2016
RB Leipzig,34,20,7,7,66,39,27,67,bundesliga,2016
Bor. Dortmund,34,18,10,6,72,40,32,64,bundesliga,2016
TSG Hoffenheim,34,16,14,4,64,37,27,62,bundesliga,2016
1.FC Köln,34,12,13,9,51,42,9,49,bundesliga,2016
Hertha BSC,34,15,4,15,43,47,-4,49,bundesliga,2016
SC Freiburg,34,14,6,14,42,60,-18,48,bundesliga,2016
Werder Bremen,34,13,6,15,61,64,-3,45,bundesliga,2016
Bor. M'gladbach,34,12,9,13,45,49,-4,45,bundesliga,2016
FC Schalke 04,34,11,10,13,45,40,5,43,bundesliga,2016
E. Frankfurt,34,11,9,14,36,43,-7,42,bundesliga,2016
B. Leverkusen,34,11,8,15,53,55,-2,41,bundesliga,2016
FC Augsburg,34,9,11,14,35,51,-16,38,bundesliga,2016
Hamburger SV,34,10,8,16,33,61,-28,38,bundesliga,2016
1.FSV Mainz 05,34,10,7,17,44,55,-11,37,bundesliga,2016
VfL Wolfsburg,34,10,7,17,34,52,-18,37,bundesliga,2016
FC Ingolstadt,34,8,8,18,36,57,-21,32,bundesliga,2016
Darmstadt 98,34,7,4,23,28,63,-35,25,bundesliga,2016
Bayern Munich,34,27,3,4,92,28,64,84,bundesliga,2017
FC Schalke 04,34,18,9,7,53,37,16,63,bundesliga,2017
TSG Hoffenheim,34,15,10,9,66,48,18,55,bundesliga,2017
Bor. Dortmund,34,15,10,9,64,47,17,55,bundesliga,2017
B. Leverkusen,34,15,10,9,58,44,14,55,bundesliga,2017
RB Leipzig,34,15,8,11,57,53,4,53,bundesliga,2017
VfB Stuttgart,34,15,6,13,36,36,0,51,bundesliga,2017
E. Frankfurt,34,14,7,13,45,45,0,49,bundesliga,2017
Bor. M'gladbach,34,13,8,13,47,52,-5,47,bundesliga,2017
Hertha BSC,34,10,13,11,43,46,-3,43,bundesliga,2017
Werder Bremen,34,10,12,12,37,40,-3,42,bundesliga,2017
FC Augsburg,34,10,11,13,43,46,-3,41,bundesliga,2017
Hannover 96,34,10,9,15,44,54,-10,39,bundesliga,2017
1.FSV Mainz 05,34,9,9,16,38,52,-14,36,bundesliga,2017
SC Freiburg,34,8,12,14,32,56,-24,36,bundesliga,2017
VfL Wolfsburg,34,6,15,13,36,48,-12,33,bundesliga,2017
Hamburger SV,34,8,7,19,29,53,-24,31,bundesliga,2017
1.FC Köln,34,5,7,22,35,70,-35,22,bundesliga,2017
Bayern Munich,34,24,6,4,88,32,56,78,bundesliga,2018
Bor. Dortmund,34,23,7,4,81,44,37,76,bundesliga,2018
RB Leipzig,34,19,9,6,63,29,34,66,bundesliga,2018
B. Leverkusen,34,18,4,12,69,52,17,58,bundesliga,2018
Bor. M'gladbach,34,16,7,11,55,42,13,55,bundesliga,2018
VfL Wolfsburg,34,16,7,11,62,50,12,55,bundesliga,2018
E. Frankfurt,34,15,9,10,60,48,12,54,bundesliga,2018
Werder Bremen,34,14,11,9,58,49,9,53,bundesliga,2018
TSG Hoffenheim,34,13,12,9,70,52,18,51,bundesliga,2018
F. Düsseldorf,34,13,5,16,49,65,-16,44,bundesliga,2018
Hertha BSC,34,11,10,13,49,57,-8,43,bundesliga,2018
1.FSV Mainz 05,34,12,7,15,46,57,-11,43,bundesliga,2018
SC Freiburg,34,8,12,14,46,61,-15,36,bundesliga,2018
FC Schalke 04,34,8,9,17,37,55,-18,33,bundesliga,2018
FC Augsburg,34,8,8,18,51,71,-20,32,bundesliga,2018
VfB Stuttgart,34,7,7,20,32,70,-38,28,bundesliga,2018
Hannover 96,34,5,6,23,31,71,-40,21,bundesliga,2018
1.FC Nuremberg,34,3,10,21,26,68,-42,19,bundesliga,2018
Bayern Munich,34,26,4,4,100,32,68,82,bundesliga,2019
Bor. Dortmund,34,21,6,7,84,41,43,69,bundesliga,2019
RB Leipzig,34,18,12,4,81,37,44,66,bundesliga,2019
Bor. M'gladbach,34,20,5,9,66,40,26,65,bundesliga,2019
B. Leverkusen,34,19,6,9,61,44,17,63,bundesliga,2019
TSG Hoffenheim,34,15,7,12,53,53,0,52,bundesliga,2019
VfL Wolfsburg,34,13,10,11,48,46,2,49,bundesliga,2019
SC Freiburg,34,13,9,12,48,47,1,48,bundesliga,2019
E. Frankfurt,34,13,6,15,59,60,-1,45,bundesliga,2019
Hertha BSC,34,11,8,15,48,59,-11,41,bundesliga,2019
Union Berlin,34,12,5,17,41,58,-17,41,bundesliga,2019
FC Schalke 04,34,9,12,13,38,58,-20,39,bundesliga,2019
1.FSV Mainz 05,34,11,4,19,44,65,-21,37,bundesliga,2019
1.FC Köln,34,10,6,18,51,69,-18,36,bundesliga,2019
FC Augsburg,34,9,9,16,45,63,-18,36,bundesliga,2019
Werder Bremen,34,8,7,19,42,69,-27,31,bundesliga,2019
F. Düsseldorf,34,6,12,16,36,67,-31,30,bundesliga,2019
SC Paderborn,34,4,8,22,37,74,-37,20,bundesliga,2019
Bayern Munich,34,24,6,4,99,44,55,78,bundesliga,2020
RB Leipzig,34,19,8,7,60,32,28,65,bundesliga,2020
Bor. Dortmund,34,20,4,10,75,46,29,64,bundesliga,2020
VfL Wolfsburg,34,17,10,7,61,37,24,61,bundesliga,2020
E. Frankfurt,34,16,12,6,69,53,16,60,bundesliga,2020
B. Leverkusen,34,14,10,10,53,39,14,52,bundesliga,2020
Union Berlin,34,12,14,8,50,43,7,50,bundesliga,2020
Bor. M'gladbach,34,13,10,11,64,56,8,49,bundesliga,2020
VfB Stuttgart,34,12,9,13,56,55,1,45,bundesliga,2020
SC Freiburg,34,12,9,13,52,52,0,45,bundesliga,2020
TSG Hoffenheim,34,11,10,13,52,54,-2,43,bundesliga,2020
1.FSV Mainz 05,34,10,9,15,39,56,-17,39,bundesliga,2020
FC Augsburg,34,10,6,18,36,54,-18,36,bundesliga,2020
Hertha BSC,34,8,11,15,41,52,-11,35,bundesliga,2020
Arm. Bielefeld,34,9,8,17,26,52,-26,35,bundesliga,2020
1.FC Köln,34,8,9,17,34,60,-26,33,bundesliga,2020
Werder Bremen,34,7,10,17,36,57,-21,31,bundesliga,2020
FC Schalke 04,34,3,7,24,25,86,-61,16,bundesliga,2020
Bayern Munich,34,24,5,5,97,37,60,77,bundesliga,2021
Bor. Dortmund,34,22,3,9,85,52,33,69,bundesliga,2021
B. Leverkusen,34,19,7,8,80,47,33,64,bundesliga,2021
RB Leipzig,34,17,7,10,72,37,35,58,bundesliga,2021
Union Berlin,34,16,9,9,50,44,6,57,bundesliga,2021
SC Freiburg,34,15,10,9,58,46,12,55,bundesliga,2021
1.FC Köln,34,14,10,10,52,49,3,52,bundesliga,2021
1.FSV Mainz 05,34,13,7,14,50,45,5,46,bundesliga,2021
TSG Hoffenheim,34,13,7,14,58,60,-2,46,bundesliga,2021
Bor. M'gladbach,34,12,9,13,54,61,-7,45,bundesliga,2021
E. Frankfurt,34,10,12,12,45,49,-4,42,bundesliga,2021
VfL Wolfsburg,34,12,6,16,43,54,-11,42,bundesliga,2021
VfL Bochum,34,12,6,16,38,52,-14,42,bundesliga,2021
FC Augsburg,34,10,8,16,39,56,-17,38,bundesliga,2021
VfB Stuttgart,34,7,12,15,41,59,-18,33,bundesliga,2021
Hertha BSC,34,9,6,19,37,71,-34,33,bundesliga,2021
Arm. Bielefeld,34,5,13,16,27,53,-26,28,bundesliga,2021
Greuther Fürth,34,3,9,22,28,82,-54,18,bundesliga,2021
Bayern Munich,34,21,8,5,92,38,54,71,bundesliga,2022
Bor. Dortmund,34,22,5,7,83,44,39,71,bundesliga,2022
RB Leipzig,34,20,6,8,64,41,23,66,bundesliga,2022
Union Berlin,34,18,8,8,51,38,13,62,bundesliga,2022
SC Freiburg,34,17,8,9,51,44,7,59,bundesliga,2022
B. Leverkusen,34,14,8,12,57,49,8,50,bundesliga,2022
E. Frankfurt,34,13,11,10,58,52,6,50,bundesliga,2022
VfL Wolfsburg,34,13,10,11,57,48,9,49,bundesliga,2022
